"af1fa67","Mickael Moreau","2018-11-25 22:22:07 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"0d71b94","Mickael Moreau","2018-11-25 22:20:50 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"a423afc","Mickael Moreau","2018-11-25 22:17:44 +0100","Wording","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"8e72f48","Mickael Moreau","2018-11-25 22:09:14 +0100","Adding parameters","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"ac4ce03","Mickael Moreau","2018-11-25 18:50:01 +0100","Improving documentation about captures folder structure","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"0714b1b","Mickael Moreau","2018-11-25 18:48:36 +0100","Improving documentation about captures folder structure","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"f10d8df","Mickael Moreau","2018-11-25 18:46:16 +0100","Improving documentation about captures folder structure","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"dee80b7","Mickael Moreau","2018-11-25 18:37:50 +0100","'How to pull request' Knowledge transfert","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"15a0329","Mickael Moreau","2018-11-25 18:36:04 +0100","'How to pull request' Knowledge transfert","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"bd96343","Mickael Moreau","2018-11-25 18:32:46 +0100","'How to pull request' Knowledge transfert","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"f0e78a0","Mickael Moreau","2018-11-25 07:50:00 +0100","Transforming from file model to timing model : in progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteReverseEngineering"
"8e90eeb","Mickael Moreau","2018-11-25 07:45:46 +0100","Transforming from file model to timing model : in progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteReverseEngineering"
"8afe2f4","Mickael Moreau","2018-11-25 04:17:16 +0100","Adding client's side file loader","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"a1b01c5","Mickael Moreau","2018-11-24 13:09:13 +0100","Improving Design","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"f80bc05","Mickael Moreau","2018-11-24 12:57:13 +0100","Improving Design","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"8da6e13","Mickael Moreau","2018-11-24 10:07:11 +0100","Improving MoonManager dependencies","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"2d00153","Mickael Moreau","2018-11-24 08:55:23 +0100","Ajout des outils pour du web reporting","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFeaturesForcast"
"f36b056","Mickael Moreau","2018-11-24 06:52:47 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"000ce72","Mickael Moreau","2018-11-24 06:36:19 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"ae54c75","Mickael Moreau","2018-11-24 06:35:49 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"9d4656a","Mickael Moreau","2018-11-24 06:35:33 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"f5ce2c9","Mickael Moreau","2018-11-24 06:31:41 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"e16e44b","Mickael Moreau","2018-11-24 06:29:23 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"453d5db","Mickael Moreau","2018-11-24 06:28:00 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"e5eee60","Mickael Moreau","2018-11-24 06:20:17 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"c36a239","Mickael Moreau","2018-11-24 06:19:44 +0100","Opening all routes for V1.0.0 demonstration","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"90f30ff","Mickael Moreau","2018-11-24 06:13:46 +0100","Opening all routes for V1.0.0 demonstration","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"de12c68","Mickael Moreau","2018-11-24 05:23:42 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"a21bf5e","Mickael Moreau","2018-11-24 02:49:35 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"c95c9fd","Mickael Moreau","2018-11-24 02:23:12 +0100","Merge branch 'master' of https://github.com/Monwoo/MoonManager","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"e1158d8","Mickael Moreau","2018-11-24 02:22:58 +0100","In progress, updating MoonManager primary logo by Miguel Monwoo","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"d6c994b","Monwoo","2018-11-24 02:12:29 +0100","Update README.md","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"1b42a3c","Monwoo","2018-11-24 02:11:22 +0100","Update README.md","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"a2f4429","Monwoo","2018-11-24 02:06:21 +0100","Update README.md","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"127f21e","Monwoo","2018-11-24 02:05:12 +0100","Update README.md","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"f9e52f3","Monwoo","2018-11-24 02:04:34 +0100","Update README.md","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"df42c94","Monwoo","2018-11-24 02:03:36 +0100","Update README.md","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"016c9b0","Mickael Moreau","2018-11-24 01:58:36 +0100","Merge branch 'master' of https://github.com/Monwoo/MoonManager","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"b0c5891","Mickael Moreau","2018-11-24 01:58:22 +0100","In progress, adding MoonManager secondary logo by Miguel Monwoo","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"98cfd77","Monwoo","2018-11-24 01:02:35 +0100","Update README.md","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"d6c72c6","Mickael Moreau","2018-11-24 00:19:58 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"f308df5","Mickael Moreau","2018-11-24 00:12:03 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"5b7208d","Mickael Moreau","2018-11-24 00:08:19 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"62373b4","Mickael Moreau","2018-11-23 22:51:45 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"e949c6d","Mickael Moreau","2018-11-23 22:46:47 +0100","In progress, adding MoonManager logo by Miguel Monwoo","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"57d989c","Monwoo","2018-11-23 22:41:52 +0100","Update README.md","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"da2cd84","Mickael Moreau","2018-11-23 22:36:24 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"b95db1a","Monwoo","2018-11-23 22:32:00 +0100","Update README.md","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"93282a8","Mickael Moreau","2018-11-23 22:28:24 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"b93b3c0","Monwoo","2018-11-23 06:58:51 +0100","Update README.md","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"11a4521","Mickael Moreau","2018-11-23 06:50:52 +0100","Fondations en place, cf README.md, TODO V1 : wordings + code","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"29e0ef4","Monwoo","2018-11-23 05:10:09 +0100","Initial commit","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
